Context,Question,Answer,URL
"Tin tức đáng chú ý: Vietravel Airlines thay tổng giám đốc; Phấn đấu hết 2025 TP.HCM hết nhà tạm, nhà dột nát; Ủy ban Chứng khoán sắp đình chỉ một kiểm toán viên...  UBND TP.HCM vừa có kế hoạch triển khai phong trào thi đua chung tay xóa nhà tạm, nhà dột nát trên địa bàn TP.HCM trong năm 2025. Phong trào nhằm thể hiện sự chăm lo, động viên người nghèo, người có hoàn cảnh khó khăn vươn lên trong cuộc sống. Qua đó huy động các nguồn lực để xóa nhà tạm, nhà dột nát với sự chia sẻ trách nhiệm giữa nhà nước, xã hội và người dân. Trong đó, nguồn lực nhà nước đóng vai trò chủ đạo, nguồn lực của xã hội là quan trọng.  TP.HCM đặt mục tiêu đến  hết năm 2025 xóa bỏ hoàn toàn nhà tạm, nhà dột nát cho hộ nghèo, hộ cận nghèo và hỗ trợ gia đình người có công gặp khó khăn về nhà ở, nhà xuống cấp cần được sửa chữa, xây mới trên địa bàn TP. Theo đó, UBND TP.HCM yêu cầu các cơ quan, đơn vị, địa phương liên quan tích cực tham mưu các cơ chế, chính sách và các quy định trong hỗ trợ xóa nhà tạm, nhà dột nát, các hộ sống trên kênh rạch và gia đình người có công với cách mạng. Hệ thống Mặt trận Tổ quốc Việt Nam TP.HCM  và các tổ chức chính trị - xã hội vận động nhân dân tích cực tham gia quyên góp, ủng hộ, giúp đỡ các hộ nghèo, hộ cận nghèo, hộ sống trên kênh rạch, người dân bị ảnh hưởng bởi thiên tai, biến đổi khí hậu, gia đình người có công với cách mạng trong xóa nhà tạm, nhà dột nát.",TP.HCM đặt mục tiêu gì về nhà ở cho người nghèo vào năm 2025?,"TP.HCM đặt mục tiêu đến hết năm 2025 xóa bỏ hoàn toàn nhà tạm, nhà dột nát cho hộ nghèo, hộ cận nghèo và hỗ trợ gia đình người có công gặp khó khăn về nhà ở, nhà xuống cấp cần được sửa chữa, xây mới trên địa bàn TP.",the_gioi_url_743.txt
"Ủy ban Chứng khoán Nhà nước đã có văn bản gửi Công ty CP Tập đoàn Tiên Sơn Thanh Hóa liên quan tới báo cáo tài chính năm 2023 được kiểm toán của doanh nghiệp này. Cụ thể, văn bản nêu rõ, theo kết quả kiểm tra chất lượng dịch vụ kiểm toán năm 2024 của Ủy ban Chứng khoán tại Công ty TNHH Kiểm toán và Tư vấn cho thấy hồ sơ kiểm toán báo cáo tài chính năm 2023 của Tập đoàn Tiên Sơn Thanh Hóa không đạt yêu cầu. Nguyên nhân do kiểm toán viên chưa thực hiện đầy đủ các thủ tục kiểm toán, chưa thu thập đầy đủ bằng chứng kiểm toán thích hợp để đưa ra ý kiến kiểm toán theo yêu cầu của chuẩn mực kiểm toán. Do đó, Ủy ban Chứng khoán sẽ đình chỉ kiểm toán viên ký báo cáo kiểm toán báo cáo tài chính năm 2023 của công ty này. Trong thông báo ngày 17-9, Vietravel Airlines cho biết mới đây đã tổ chức bổ nhiệm chức tổng giám đốc với ông Đào Đức Vũ. Ông Vũ ngồi ""ghế nóng"" Vietravel Airlines từ ngày 4-9, ngay sau khi hội đồng quản trị thông qua đơn từ nhiệm của ông Nguyễn Minh Hải vì lý do cá nhân. Theo Vietravel Airlines, ông Đào Đức Vũ có hơn 35 năm kinh nghiệm trong ngành hàng không, từng đảm nhận nhiều vị trí lãnh đạo cấp cao tại các cơ quan, doanh nghiệp Vietnam Airlines, Cambodia Angkor Air, Vietjet, Bamboo Airways.",Vì sao kiểm toán viên bị đình chỉ?,"Kiểm toán viên bị đình chỉ do chưa thực hiện đầy đủ các thủ tục kiểm toán, chưa thu thập đầy đủ bằng chứng kiểm toán thích hợp để đưa ra ý kiến kiểm toán theo yêu cầu của chuẩn mực kiểm toán.",the_gioi_url_743.txt
"Trong giai đoạn từ năm 2020 - 2022, ông Vũ đã nắm giữ chức vụ phó tổng giám đốc kiêm người chịu trách nhiệm chính về quản lý, giám sát khai thác bay và huấn luyện tổ bay của Vietravel Airlines. Chiều 17-9, hiệu trưởng Trường đại học Y Hà Nội Nguyễn Hữu Tú và các thầy cô trong ban giám hiệu nhà trường đã có buổi gặp gỡ với 98 tân sinh viên diện tuyển thẳng/có điểm thi đầu vào xuất sắc và sinh viên người dân tộc thiểu số. Trường đại học Y Hà Nội là ngôi trường đại học có lịch sử lâu đời nhất trong các trường đại học hiện có ở Việt Nam, với trên 120 năm lịch sử. Mùa tuyển sinh đại học năm 2024, nhà trường tiếp nhận 1.732 tân sinh viên, trong đó có 4 sinh viên từng đoạt huy chương tại các kỳ thi Olympic sinh học và hóa học quốc tế.  Bên cạnh đó, sinh viên có điểm đầu vào cao nhất trong kỳ tuyển sinh năm nay của trường đạt 29,55 điểm. ",Trường Đại học Y Hà Nội có điểm đầu vào cao nhất là bao nhiêu?,"Điểm đầu vào cao nhất trong kỳ tuyển sinh năm nay của trường đạt 29,55 điểm.",the_gioi_url_743.txt
"Chiều 13-9, Ủy ban MTTQ Việt Nam TP.HCM tổ chức lễ xuất quân, với những chuyến xe chở hơn 30 tấn hàng hóa đi hỗ trợ đồng bào miền Bắc bị thiệt hại do bão số 3.  Tại lễ xuất quân, các lực lượng đã đưa hơn 30 tấn hàng hóa các loại (nước, sữa, mì, thực phẩm dinh dưỡng, áo phao, phao cứu hộ, gạo...) lên các xe. ",Ủy ban MTTQ Việt Nam TP.HCM hỗ trợ gì cho đồng bào miền Bắc?,"Ủy ban MTTQ Việt Nam TP.HCM tổ chức lễ xuất quân, với những chuyến xe chở hơn 30 tấn hàng hóa đi hỗ trợ đồng bào miền Bắc bị thiệt hại do bão số 3.  Hàng hóa bao gồm nước, sữa, mì, thực phẩm dinh dưỡng, áo phao, phao cứu hộ, gạo...",the_gioi_url_958.txt
"Với vai trò là chủ sở hữu của ECRM Nobita, Ninja Van cam kết sẽ thực hiện đầy đủ các nghĩa vụ và những hành động trong khả năng nhằm giải quyết triệt để những vấn đề của tập thể nhân viên ECRM.  Ưu tiên hàng đầu giải quyết việc chậm trả lương và bảo hiểm xã hội, đảm bảo điều này sẽ không tái diễn.  Đến ngày 20-9, Tập đoàn Ninja Van đã hoàn tất thanh toán các khoản lương quá hạn vào tài khoản ngân hàng của nhân viên ECRM Nobita.",Ninja Van cam kết gì với nhân viên ECRM Nobita?,"Ninja Van cam kết sẽ thực hiện đầy đủ các nghĩa vụ và những hành động trong khả năng nhằm giải quyết triệt để những vấn đề của tập thể nhân viên ECRM, ưu tiên hàng đầu là giải quyết việc chậm trả lương và bảo hiểm xã hội.",the_gioi_url_569.txt
"""Trong tuần qua, chúng tôi đã đẩy nhanh các nỗ lực để kiểm soát hệ thống lương và tài khoản ngân hàng nhằm phục vụ cho công việc khắc phục hậu quả. Điều này đảm bảo rằng chúng tôi có thể xử lý các vấn đề về thanh toán lương trong tương lai và chúng tôi vẫn trong quá trình tiếp tục xem xét tình hình tổng thể tại ECRM Nobita"" - thông cáo của Ninja Van nêu.  Đồng thời, đơn vị này cũng nhấn mạnh ECRM Nobita là hoàn toàn tách biệt với hoạt động cốt lõi trong lĩnh vực vận chuyển của Ninja Van Việt Nam.",Ninja Van đang làm gì để khắc phục hậu quả?,"Ninja Van đang đẩy nhanh các nỗ lực để kiểm soát hệ thống lương và tài khoản ngân hàng nhằm phục vụ cho công việc khắc phục hậu quả, đảm bảo xử lý các vấn đề về thanh toán lương trong tương lai.",the_gioi_url_569.txt
"Ninja Van là công ty chuyển phát, vận tải với nền tảng công nghệ hàng đầu Đông Nam Á. Ra mắt vào năm 2014, Ninja Van bắt đầu hoạt động tại Singapore và khẳng định quy mô và tốc độ phát triển mạnh mẽ khi mở rộng mạng lưới rộng khắp sáu quốc gia Đông Nam Á gồm Singapore, Malaysia, Philippines, Indonesia, Thái Lan và Việt Nam.  ",Ninja Van hoạt động ở những nước nào?,"Ninja Van hoạt động ở 6 quốc gia Đông Nam Á gồm Singapore, Malaysia, Philippines, Indonesia, Thái Lan và Việt Nam.",the_gioi_url_569.txt
"Công đoàn dự kiến hỗ trợ 400 vé máy bay một chiều cho đoàn viên lao động xa quê về nhà đón Tết 2025.  Theo thông tin từ Tổng liên đoàn Lao động Việt Nam, cơ quan này đã có kế hoạch chăm lo Tết cho đoàn viên người lao động. Trong đó, tổ chức công đoàn ưu tiên người có hoàn cảnh đặc biệt khó khăn, bị tai nạn lao động, mắc bệnh nghề nghiệp hoặc bệnh hiểm nghèo. Tổng liên đoàn cũng hỗ trợ những người bị ảnh hưởng bởi thiên tai, bão lũ, hoặc bị giảm giờ làm, mất việc làm, bị nợ lương, nợ thưởng. Ngoài ra, các đoàn viên thuộc diện gia đình chính sách, dân tộc thiểu số, nhiều năm liền chưa về quê cũng được quan tâm.  Các chương trình cụ thể là Chợ Tết Công đoàn, Chuyến xe Công đoàn, Chuyến tàu Công đoàn…  Trong đó, Chợ Tết Công đoàn tổ chức trực tuyến (online) bán hàng thiết yếu, giá ưu đãi, chất lượng và tặng kèm phiếu mua hàng, sản phẩm giá ""0 đồng""... ",Công đoàn hỗ trợ gì cho đoàn viên lao động về quê đón Tết?,Công đoàn dự kiến hỗ trợ 400 vé máy bay một chiều cho đoàn viên lao động xa quê về nhà đón Tết 2025.,the_gioi_url_73.txt
"Đồng thời, chợ còn tổ chức hoạt động văn hóa, thể thao, tặng quà, tư vấn sức khỏe, cấp thuốc miễn phí… Dự kiến công đoàn sẽ hỗ trợ khoảng 2.000 vé tàu khứ hồi, khoảng 400 vé máy bay một chiều cho lao động về quê ăn Tết.  Ông Phan Văn Anh - phó chủ tịch Tổng liên đoàn Lao động Việt Nam - nhấn mạnh năm 2025 là năm kỷ niệm 95 năm Ngày thành lập Đảng Cộng sản Việt Nam (3-2-1930 - 3-2-2025) và diễn ra Đại hội Đảng các cấp, tiến tới Đại hội đại biểu Đảng toàn quốc lần thứ XIV.  Việc tổ chức chương trình ""Tết sum vầy - Xuân ơn Đảng"" sẽ thể hiện tình cảm, niềm tin và lòng biết ơn của công đoàn đối với Đảng và mang lại không khí đoàn kết, ấm cúng, vui tươi cho đoàn viên người lao động, nhất là người đón Tết xa quê.  ","Chương trình ""Tết sum vầy - Xuân ơn Đảng"" có ý nghĩa gì?","Chương trình ""Tết sum vầy - Xuân ơn Đảng"" thể hiện tình cảm, niềm tin và lòng biết ơn của công đoàn đối với Đảng và mang lại không khí đoàn kết, ấm cúng, vui tươi cho đoàn viên người lao động, nhất là người đón Tết xa quê.",the_gioi_url_73.txt
"""Nếu đem khoảng 10 triệu xe mà TP.HCM đang quản lý xếp trên mặt đường thì phải mở rộng mặt đường hiện hữu lên gấp 2,5 lần mới đủ"", ông Bùi Hòa An - phó giám đốc Sở Giao thông vận tải TP.HCM - nhấn mạnh.  Tại cuộc họp báo kinh tế và xã hội TP.HCM chiều 19-9, Sở Giao thông vận tải TP.HCM đã giải đáp thắc mắc xoay quanh thực trạng lượng xe cộ đi lại ở TP.HCM ngày càng tăng khiến nhiều đường thường quá tải. Việc mở rộng mặt đường, phát triển hạ tầng giao thông đang được cơ quan chức năng quan tâm, phát triển theo kế hoạch phù hợp. Ông Bùi Hòa An - phó giám đốc Sở Giao thông vận tải TP.HCM - cho biết hiện tại TP.HCM đang quản lý 10 triệu xe, chưa kể các xe ở tỉnh tới và đi lại trong TP.HCM... Do đó, mặt đường phải được mở rộng gấp 2,5 lần so với kích thước hiện hữu thì mới đủ để cho toàn bộ các loại xe TP.HCM quản lý đi lại. Tất cả các đô thị lớn hiện nay, không riêng TP.HCM đều đang đối diện với thực trạng ùn tắc giao thông do độ nén dân số. Trước mắt để giải quyết bài toán nan giải này, Sở Giao thông vận tải TP.HCM đã cùng các đơn vị liên quan tập trung đẩy nhanh tiến độ thi công các dự án trọng điểm. Bên cạnh đó, nâng cấp, mở rộng mạng lưới camera giám sát giao thông, tối ưu hoạt động của đèn tín hiệu từ các trục giao thông chính đã kết nối về Trung tâm Quản lý điều hành giao thông đô thị. ",TP.HCM cần mở rộng mặt đường như thế nào để đủ chỗ cho xe cộ?,"TP.HCM cần mở rộng mặt đường hiện hữu lên gấp 2,5 lần mới đủ chỗ cho 10 triệu xe đang được quản lý.",the_gioi_url_622.txt
